"","EorP","CapShape","CapSurf","CapColor","Bruises","Odor","GillAtt","GillSpace","GillSize","GillColor","StalkShape","StalkRoot","SsurfAbove","SsurfBelow","ScolorAbove","ScolorBelow","VeilType","VeilColor","RingNum","RingType","Spore","Pop","Habitat"
"1577","e","x","s","w","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","k","s","g"
"1578","p","x","y","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","g"
"1579","e","f","f","g","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","a","g"
"1580","p","f","y","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","s","g"
"1581","e","f","f","w","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","a","g"
"1582","e","x","f","n","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","k","v","d"
"1583","e","x","f","g","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","k","s","g"
"1584","p","f","s","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","v","u"
"1585","e","f","s","g","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","s","g"
"1586","p","x","s","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","v","u"
"1587","e","x","f","n","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","n","v","d"
"1588","e","x","f","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","s","g"
"1589","e","x","y","y","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","s","p"
"1590","e","f","f","w","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","s","g"
"1591","e","f","s","w","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","n","a","g"
"1592","e","x","f","g","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","n","s","g"
"1593","e","f","f","g","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","s","g"
"1594","e","f","f","w","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","n","a","g"
"1595","e","x","f","g","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","k","s","g"
"1596","e","f","f","g","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","n","a","g"
"1597","e","x","f","g","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","n","v","d"
"1598","e","x","s","g","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","a","g"
"1599","e","f","s","g","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","s","g"
"1600","e","x","y","n","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","s","g"
"1601","e","x","y","g","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","k","y","d"
"1602","e","f","s","g","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","k","a","g"
"1603","e","f","f","w","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","s","g"
"1604","e","f","s","n","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","a","g"
"1605","e","f","f","w","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","k","s","g"
"1606","e","f","f","n","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","a","g"
"1607","e","f","s","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","a","g"
"1608","e","x","s","n","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","s","g"
"1609","e","x","f","n","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","n","y","d"
"1610","e","x","s","n","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","n","s","g"
"1611","e","x","f","n","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","k","a","g"
"1612","e","f","s","w","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","a","g"
"1613","e","x","f","n","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","y","u"
"1614","p","f","s","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","s","u"
"1615","p","f","s","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","g"
"1616","e","x","f","n","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","k","v","d"
"1617","e","x","s","w","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","n","a","g"
"1618","e","f","f","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","a","g"
"1619","e","x","s","n","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","s","g"
"1620","e","x","f","n","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","s","g"
"1621","e","x","s","g","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","k","s","g"
"1622","e","f","f","g","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","k","a","g"
"1623","e","f","s","n","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","n","s","g"
"1624","e","f","s","g","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","a","g"
"1625","e","x","f","e","t","n","f","c","b","n","t","b","s","s","p","p","p","w","o","p","k","v","d"
"1626","p","f","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","u"
"1627","e","x","f","n","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","s","g"
"1628","e","x","f","n","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","n","v","d"
"1629","p","f","s","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","u"
"1630","p","f","s","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","g"
"1631","p","f","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","s","u"
"1632","e","f","f","w","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","n","a","g"
"1633","e","f","s","n","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","s","g"
"1634","e","f","f","n","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","a","g"
"1635","e","x","s","n","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","a","g"
"1636","e","f","s","n","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","k","a","g"
"1637","p","f","s","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","g"
"1638","p","f","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","g"
"1639","e","f","s","g","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","a","g"
"1640","e","x","s","n","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","k","a","g"
"1641","e","x","s","n","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","s","g"
"1642","e","x","f","n","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","k","v","d"
"1643","e","x","f","n","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","n","v","d"
"1644","e","f","f","w","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","a","g"
"1645","e","f","f","w","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","n","s","g"
"1646","e","x","f","w","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","k","a","g"
"1647","e","x","s","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","m"
"1648","e","f","s","g","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","a","g"
"1649","e","x","s","w","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","n","s","g"
"1650","e","x","f","n","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","s","g"
"1651","e","x","f","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","a","g"
"1652","e","x","s","w","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","s","g"
"1653","e","x","s","n","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","s","g"
"1654","e","x","s","g","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","s","g"
"1655","e","x","s","g","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","s","g"
"1656","e","f","s","w","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","s","g"
"1657","e","x","s","n","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","k","a","g"
"1658","e","f","f","g","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","s","g"
"1659","e","f","f","w","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","k","s","g"
"1660","e","x","f","w","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","a","g"
"1661","e","f","f","g","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","s","g"
"1662","e","x","f","g","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","a","g"
"1663","e","x","y","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","g"
"1664","e","x","s","y","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","g"
"1665","e","x","s","w","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","a","g"
"1666","p","x","y","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","g"
"1667","e","x","f","w","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","s","g"
"1668","p","x","s","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","s","u"
"1669","e","x","y","g","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","n","v","d"
"1670","p","f","s","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","v","u"
"1671","e","x","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","g"
"1672","e","x","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","m"
"1673","e","f","y","n","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","y","p"
"1674","e","x","s","w","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","n","s","g"
"1675","e","f","s","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","s","g"
"1676","e","x","s","g","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","k","a","g"
"1677","e","x","s","w","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","k","a","g"
"1678","e","f","s","n","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","s","g"
"1679","e","f","s","n","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","a","g"
"1680","e","x","s","g","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","k","s","g"
"1681","e","b","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","g"
"1682","e","x","s","g","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","k","s","g"
"1683","e","x","s","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","m"
"1684","p","f","y","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","g"
"1685","e","f","s","w","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","s","g"
"1686","e","f","s","n","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","s","g"
"1687","e","f","s","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","s","g"
"1688","e","f","f","g","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","s","g"
"1689","e","x","y","n","t","n","f","c","b","p","t","b","s","s","g","w","p","w","o","p","n","y","d"
"1690","e","x","f","n","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","k","y","d"
"1691","e","x","y","y","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","y","p"
"1692","e","x","f","g","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","k","y","d"
"1693","e","f","f","g","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","a","g"
"1694","e","f","s","n","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","s","g"
"1695","e","f","s","w","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","n","a","g"
"1696","e","x","f","g","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","n","a","g"
"1697","e","f","s","w","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","k","s","g"
"1698","e","f","f","g","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","n","a","g"
"1699","e","x","f","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","a","g"
"1700","e","x","s","n","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","a","g"
"1701","e","x","f","n","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","k","y","d"
"1702","e","f","s","w","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","s","g"
"1703","e","f","f","n","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","k","s","g"
"1704","p","f","y","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","s","g"
"1705","e","x","f","n","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","k","y","d"
"1706","e","x","f","n","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","s","g"
"1707","e","f","f","w","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","s","g"
"1708","p","f","y","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","u"
"1709","e","f","f","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","s","g"
"1710","e","x","f","g","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","v","d"
"1711","e","x","f","w","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","a","g"
"1712","e","x","f","g","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","s","g"
"1713","e","x","f","n","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","n","v","d"
"1714","e","x","s","g","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","n","a","g"
"1715","e","f","f","w","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","n","a","g"
"1716","e","x","f","g","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","k","y","d"
"1717","e","x","y","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","g"
"1718","e","x","y","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","m"
"1719","e","f","s","g","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","s","g"
"1720","e","f","s","w","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","a","g"
"1721","e","f","s","n","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","k","s","g"
"1722","e","f","s","w","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","a","g"
"1723","e","x","f","n","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","n","a","g"
"1724","e","x","s","n","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","n","s","g"
"1725","e","b","y","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","m"
"1726","p","f","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","g"
"1727","e","x","s","n","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","k","a","g"
"1728","e","f","s","n","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","k","s","g"
"1729","e","x","y","n","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","s","g"
"1730","e","x","s","g","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","n","a","g"
"1731","e","f","s","w","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","n","a","g"
"1732","p","x","s","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","u"
"1733","e","f","s","g","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","k","a","g"
"1734","e","x","f","w","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","s","g"
"1735","p","f","s","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","g"
"1736","e","x","f","n","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","a","g"
"1737","e","x","s","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","a","g"
"1738","e","x","f","n","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","k","v","d"
"1739","e","f","s","w","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","s","g"
"1740","p","f","s","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","u"
"1741","e","x","f","w","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","a","g"
"1742","e","f","f","n","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","s","g"
"1743","e","f","s","g","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","s","g"
"1744","e","x","f","w","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","k","a","g"
"1745","e","f","y","n","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","y","g"
"1746","p","f","s","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","s","g"
"1747","e","x","f","w","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","a","g"
"1748","e","f","f","n","f","n","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","y","u"
"1749","p","f","y","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","s","u"
"1750","e","f","s","w","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","n","s","g"
"1751","e","x","f","g","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","n","s","g"
"1752","e","f","y","y","t","a","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","y","p"
"1753","e","x","f","w","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","s","g"
"1754","e","x","f","w","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","a","g"
"1755","p","f","y","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","s","g"
"1756","e","f","f","n","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","s","g"
"1757","e","f","f","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","s","g"
"1758","e","x","f","n","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","s","g"
"1759","e","x","f","n","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","n","v","d"
"1760","e","x","s","g","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","k","s","g"
"1761","e","x","s","g","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","k","a","g"
"1762","e","x","f","w","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","k","s","g"
"1763","e","f","f","g","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","n","s","g"
"1764","e","x","f","n","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","k","y","d"
"1765","e","x","s","w","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","s","g"
"1766","p","x","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","s","u"
"1767","e","f","s","g","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","n","a","g"
"1768","e","x","s","n","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","s","g"
"1769","e","x","f","n","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","k","v","d"
"1770","e","x","y","y","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","y","g"
"1771","e","x","s","g","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","k","a","g"
"1772","e","x","f","n","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","a","g"
"1773","e","x","f","w","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","a","g"
"1774","e","x","y","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","g"
"1775","e","x","f","n","t","n","f","c","b","p","t","b","s","s","g","w","p","w","o","p","k","y","d"
"1776","e","x","f","w","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","k","a","g"
"1777","e","x","f","w","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","k","a","g"
"1778","p","f","s","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","s","u"
"1779","p","f","s","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","u"
"1780","e","x","s","n","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","k","a","g"
"1781","e","x","f","g","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","u"
"1782","e","f","s","n","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","s","g"
"1783","e","x","s","w","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","k","a","g"
"1784","p","f","s","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","s","g"
"1785","e","b","s","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","g"
"1786","e","x","f","n","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","a","g"
"1787","p","f","y","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","s","u"
"1788","e","x","s","g","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","k","a","g"
"1789","e","x","s","g","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","n","s","g"
"1790","e","x","s","w","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","k","s","g"
"1791","p","f","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","u"
"1792","e","f","s","w","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","k","a","g"
"1793","e","x","f","n","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","a","g"
"1794","e","f","f","n","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","s","g"
"1795","e","x","f","n","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","a","g"
"1796","p","f","y","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","g"
"1797","e","x","f","w","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","n","s","g"
"1798","e","f","s","w","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","a","g"
"1799","p","f","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","u"
"1800","e","f","s","g","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","a","g"
"1801","e","f","y","n","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","n","v","d"
"1802","e","x","f","g","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","n","a","g"
"1803","e","x","f","g","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","k","v","d"
"1804","e","x","y","n","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","n","v","d"
"1805","e","f","f","n","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","n","y","d"
"1806","e","f","y","e","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","k","v","d"
"1807","e","f","s","g","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","s","g"
"1808","e","x","f","g","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","n","y","d"
"1809","e","x","y","g","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","k","y","d"
"1810","e","x","f","g","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","s","g"
"1811","p","f","s","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","s","g"
"1812","e","f","f","n","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","k","v","d"
"1813","p","x","s","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","g"
"1814","e","x","s","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","g"
"1815","e","x","s","w","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","k","a","g"
"1816","e","x","y","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","g"
"1817","p","x","f","g","f","f","f","c","b","h","e","b","k","k","n","b","p","w","o","l","h","y","g"
"1818","e","f","s","n","f","n","f","w","b","k","t","e","f","s","w","w","p","w","o","e","n","a","g"
"1819","e","f","s","w","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","s","g"
"1820","e","x","f","n","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","k","v","d"
"1821","e","f","s","n","f","n","f","w","b","h","t","e","s","s","w","w","p","w","o","e","k","s","g"
"1822","e","x","f","n","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","k","s","g"
"1823","p","x","s","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","u"
"1824","e","f","f","n","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","n","y","d"
"1825","e","x","y","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","g"
"1826","e","f","f","g","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","k","s","g"
"1827","e","x","y","e","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","n","v","d"
"1828","e","f","f","w","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","s","g"
"1829","e","x","s","g","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","a","g"
"1830","e","x","y","n","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","k","v","d"
"1831","e","x","y","g","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","n","y","d"
"1832","e","x","f","g","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","k","v","d"
"1833","e","f","s","w","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","n","a","g"
"1834","e","x","f","g","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","k","v","d"
"1835","e","x","f","n","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","n","v","d"
"1836","e","x","f","e","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","n","v","d"
"1837","e","x","y","n","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","n","y","d"
"1838","e","f","f","w","f","n","f","w","b","h","t","e","f","f","w","w","p","w","o","e","n","s","g"
"1839","e","x","y","n","t","n","f","c","b","p","t","b","s","s","p","w","p","w","o","p","k","y","d"
"1840","e","x","s","g","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","s","g"
"1841","e","x","f","g","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","a","g"
"1842","e","f","f","w","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","a","g"
"1843","e","x","y","g","t","n","f","c","b","p","t","b","s","s","w","p","p","w","o","p","k","v","d"
"1844","p","f","y","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","u"
"1845","e","x","y","e","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","k","v","d"
"1846","e","f","f","w","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","k","s","g"
"1847","e","f","s","g","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","a","g"
